DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Brazil,BRA,Americas,Latin America and the Caribbean,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5999984741,,,,,,,,,,,,0.0,,,,,,,,66.0999984741211
Bulgaria,BGR,Europe,Eastern Europe,2014,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.76000213623047
Bulgaria,BGR,Europe,Eastern Europe,2018,,,21.2800006866,3.06999993324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0,,,,,,,,,,,,,,,,,,66.19999694824219
Bulgaria,BGR,Europe,Eastern Europe,2019,,,,,,,,,,,,,,,,,,,24.0540523529,,,45.2000007629,,23.6000003815,,,,,,11.9196300507,62.9165306091,,,,,,,,,,,,18.5592308044,,,2.90000009537,,,,,,,,,,,66.30000305175781
Bulgaria,BGR,Europe,Eastern Europe,2020,,,,,,,,,,,,,,,,,7.08603000641,,,,,,,,,,,,,,,,,0.090000003576,,,,,,,,,,,,,,,,,,,,,,,66.4000015258789
Bulgaria,BGR,Europe,Eastern Europe,2021,,,,,12.9200000763,,,46.5880012512,,,,,,,,94.5,,,,,,,,,,,,,8.39999961853,,,,,,,,,,,,,,,0.756661891937,9.76239490509,,,73.4856033325,,1.08184826374,,,,,,,66.5
Bulgaria,BGR,Europe,Eastern Europe,2022,,,,,,,48.9620018005,,15.609000206,8.96599960327,,87.0,20.15000039337,6.09850788116,16.0,,,39.5,,20.5876407623,12.0619001389,,3.79999995232,,,5.59999990463,87.0,,,,,,,,0.029999999329,1.0,,,,89.0,,,,,,,,,,,2.6964058876,91.0,72.0877685547,,73.4566116333,95.6543273926,66.5999984741211
Bulgaria,BGR,Europe,Eastern Europe,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4666976929,,,,,,,,,,,,0.0,,,,,,,,66.69999694824219
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,53.775001525878906
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2018,,,8.36999988556,1.75999999046,,83.5695037842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,,,,,,,,,,,,,,,,,,54.525001525878906
