DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Argentina,ARG,Americas,Latin America and the Caribbean,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.70000004768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.05000305175781
Argentina,ARG,Americas,Latin America and the Caribbean,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.5786581039,-1.0,-1.0,47.5,-1.0,11.8999996185,-1.0,-1.0,-1.0,-1.0,-1.0,8.03999042511,29.6732997894,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.2302503586,-1.0,-1.0,11.3999996185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0999984741211
Argentina,ARG,Americas,Latin America and the Caribbean,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98.8000030518,44.9000816345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.3000030518,-1.0,0.009999999776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.1500015258789
Argentina,ARG,Americas,Latin America and the Caribbean,2021,19.7600002289,34.3300018311,-1.0,-1.0,16.2199993134,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.3099996149735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.80000019073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.271835505962,7.90067815781,-1.0,-1.0,78.5253677368,-1.0,5.93389749527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.19999694824219
Argentina,ARG,Americas,Latin America and the Caribbean,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.8180007935,43.5379981995,9.65400028229,4.88000011444,0.0,93.0,-1.0,9.4352388382,29.0,-1.0,-1.0,23.7999992371,-1.0,35.3552017212,20.2722091675,-1.0,12.6000003815,-1.0,-1.0,9.5,77.0,99.9000015259,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.090000003576,54.0,-1.0,-1.0,-1.0,1020.0,2.52999997139,73.5486984253,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.727850914,81.0,36.4880714417,-1.0,-1.0,-1.0,67.25
Argentina,ARG,Americas,Latin America and the Caribbean,2023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.1333007813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.30000305175781
Armenia,ARM,Asia,Western Asia,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.8000030518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.40000009537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.2000007629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.2750015258789
Armenia,ARM,Asia,Western Asia,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.82499694824219
Armenia,ARM,Asia,Western Asia,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.1739997864,48.2630004883,4.17600011826,0.261999994516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.1125907898,-1.0,-1.0,47.2999992371,-1.0,17.2999992371,-1.0,-1.0,-1.0,-1.0,-1.0,4.98389005661,74.5483474731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.2372207642,-1.0,-1.0,5.80000019073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0999984741211
Armenia,ARM,Asia,Western Asia,2021,-1.0,-1.0,19.8899993896,5.92999982834,7.63000011444,49.0209007263,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.8000001907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.6000003815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.892791032791,2.39965391159,-1.0,-1.0,68.193107605,-1.0,3.94064640999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.6500015258789
